Customer,Arrival_Date,Wait,Service_Start_Date,Service_Time,Service_End_Date
1868,12.588455562221581,1866148.6245528543,1866161.2130084166,1332.2176361185254,1867493.430644535
1869,12.59267576786309,1867480.8379687672,1867493.430644535,840.6983677285431,1868334.1290122636
1870,12.600003851656417,1868321.529008412,1868334.1290122636,1739.7152371260445,1870073.8442493896
1871,12.60166957745238,1870061.2425798122,1870073.8442493896,170.47307303669976,1870244.3173224262
1872,12.606786876024017,1870231.7105355503,1870244.3173224262,510.46217107943426,1870754.7794935056
1873,12.609740429312625,1870742.1697530763,1870754.7794935056,918.1475198736389,1871672.9270133793
1874,12.609848832454928,1871660.3171645468,1871672.9270133793,1369.9492826236924,1873042.8762960029
1875,12.62981080313035,1873030.2464851998,1873042.8762960029,800.0334702577194,1873842.9097662605
1876,12.63064696325614,1873830.2791192972,1873842.9097662605,1564.3439262743639,1875407.253692535
1877,12.643152928490908,1875394.6105396065,1875407.253692535,25.390959326552544,1875432.6446518616
1878,12.644472171191449,1875420.0001796905,1875432.6446518616,1628.843923531995,1877061.4885753936
1879,12.651510398471078,1877048.8370649952,1877061.4885753936,1016.6363956033916,1878078.124970997
1880,12.653398579596832,1878065.4715724173,1878078.124970997,2105.060091653656,1880183.1850626506
1881,12.654860331817313,1880170.5302023187,1880183.1850626506,1324.7604057913154,1881507.9454684418
1882,12.655986264563484,1881495.2894821772,1881507.9454684418,448.8327822058646,1881956.7782506477
1883,12.671331819609373,1881944.106918828,1881956.7782506477,625.3713667918698,1882582.1496174396
1884,12.679692577078074,1882569.4699248625,1882582.1496174396,799.3794789552684,1883381.5290963948
1885,12.692328234594227,1883368.83676816,1883381.5290963948,223.3853411665418,1883604.9144375613
1886,12.698393200934744,1883592.2160443603,1883604.9144375613,733.8387068808403,1884338.753144442
1887,12.700866550820148,1884326.0522778912,1884338.753144442,443.93133447411026,1884782.6844789162
1888,12.702139976821528,1884769.9823389393,1884782.6844789162,848.0170150290736,1885630.7014939452
1889,12.723907606133006,1885617.977586339,1885630.7014939452,627.6945301370141,1886258.3960240823
1890,12.725421724147367,1886245.6706023582,1886258.3960240823,1722.6200863076049,1887981.01611039
1891,12.730058471400378,1887968.2860519185,1887981.01611039,1466.4149274982424,1889447.4310378882
1892,12.748988353413468,1889434.6820495347,1889447.4310378882,89.88943180450718,1889537.3204696926
1893,12.755280568107217,1889524.5651891246,1889537.3204696926,1105.1334014748788,1890642.4538711675
1894,12.759325878835217,1890629.6945452886,1890642.4538711675,298.7358959583453,1890941.1897671258
1895,12.77319677817807,1890928.4165703475,1890941.1897671258,659.9507065565724,1891601.1404736824
1896,12.802486731321098,1891588.3379869512,1891601.1404736824,242.86390776324058,1891844.0043814457
1897,12.804739018612615,1891831.199642427,1891844.0043814457,125.97248556874915,1891969.9768670145
1898,12.811706350570235,1891957.165160664,1891969.9768670145,1186.2809838608412,1893156.2578508754
1899,12.814461103312183,1893143.443389772,1893156.2578508754,137.23253959107834,1893293.4903904665
1900,12.82821382163874,1893280.662176645,1893293.4903904665,112.49655225506099,1893405.9869427215
1901,12.829317879022485,1893393.1576248426,1893405.9869427215,3519.356387387426,1896925.343330109
1902,12.832454870685433,1896912.5108752383,1896925.343330109,891.3991574055452,1897816.7424875146
1903,12.834789203585254,1897803.9076983111,1897816.7424875146,113.78825174394707,1897930.5307392585
1904,12.845813979125099,1897917.6849252793,1897930.5307392585,324.7271842667595,1898255.2579235253
1905,12.846225031196886,1898242.411698494,1898255.2579235253,621.2203645417045,1898876.478288067
1906,12.848357319348821,1898863.6299307477,1898876.478288067,646.1515898685668,1899522.6298779356
1907,12.84882179086981,1899509.7810561447,1899522.6298779356,1541.5686471023885,1901064.198525038
1908,12.852014696362213,1901051.3465103416,1901064.198525038,912.6961869255377,1901976.8947119636
1909,12.856915118220897,1901964.0377968454,1901976.8947119636,350.0934058980833,1902326.9881178618
1910,12.860258744404527,1902314.1278591175,1902326.9881178618,64.33056205707189,1902391.3186799188
1911,12.870038364395365,1902378.4486415545,1902391.3186799188,1.3266436809580155,1902392.6453235997
1912,12.872983676094492,1902379.7723399235,1902392.6453235997,3161.0164481476063,1905553.6617717473
1913,12.879313325125338,1905540.7824584222,1905553.6617717473,1512.9936448055198,1907066.655416553
1914,12.88927168349518,1907053.7661448694,1907066.655416553,3896.809728011094,1910963.465144564
1915,12.900599307410912,1910950.5645452566,1910963.465144564,92.60226721974385,1911056.0674117836
1916,12.900671520259264,1911043.1667402633,1911056.0674117836,3094.3207940484913,1914150.388205832
1917,12.914519611834903,1914137.4736862204,1914150.388205832,1275.5185265168184,1915425.906732349
1918,12.916232488650136,1915412.9904998604,1915425.906732349,657.2884652987301,1916083.1951976477
1919,12.934452714727044,1916070.260744933,1916083.1951976477,2805.623880831243,1918888.819078479
1920,12.942088237186848,1918875.8769902417,1918888.819078479,1381.9892587955294,1920270.8083372745
1921,12.947558209959034,1920257.8607790645,1920270.8083372745,498.62734012748683,1920769.435677402
1922,12.952867620312432,1920756.4828097816,1920769.435677402,3668.8513897135326,1924438.2870671155
1923,12.957290343392726,1924425.329776772,1924438.2870671155,1905.5152296137665,1926343.8022967293
1924,12.9606317982043,1926330.841664931,1926343.8022967293,17.4026229443631,1926361.2049196737
1925,12.966874451774716,1926348.238045222,1926361.2049196737,1779.3523301290872,1928140.5572498029
1926,12.970116144664837,1928127.5871336581,1928140.5572498029,344.9823202902058,1928485.5395700932
1927,12.978107454754063,1928472.5614626384,1928485.5395700932,3459.0765665845543,1931944.6161366778
1928,12.98586620908814,1931931.6302704688,1931944.6161366778,1460.6446028681912,1933405.260739546
