Customer,Initial_Arrival_Date,Arrival_time,Pre_arrival,Wait,delay,Service_Start_Date,Service_Time,Service_End_Date,Flow_type,Prioritised,FlowNumber
16,1923.8621125665475,1923.8641125665474,1923.8641125665474,0.0,0.0019999999999527063,1923.8641125665474,0.002,1923.8661125665474,1,False,1
17,1923.8646125665475,1923.8666125665475,1923.8666125665475,0.0,0.0019999999999527063,1923.8666125665475,0.002,1923.8686125665474,1,False,1
18,1923.8671125665476,1923.8691125665475,1923.8691125665475,0.0,0.0019999999999527063,1923.8691125665475,0.002,1923.8711125665475,1,False,1
19,1923.8696125665476,1923.8716125665476,1923.8716125665476,0.0,0.0019999999999527063,1923.8716125665476,0.002,1923.8736125665475,1,False,1
20,1923.8721125665475,1923.8741125665474,1923.8741125665474,0.0,0.0019999999999527063,1923.8741125665474,0.002,1923.8761125665474,1,False,1
21,1923.8746125665475,1923.8766125665475,1923.8766125665475,0.0,0.0019999999999527063,1923.8766125665475,0.002,1923.8786125665474,1,False,1
22,1923.8771125665476,1923.8791125665475,1923.8791125665475,0.0,0.0019999999999527063,1923.8791125665475,0.002,1923.8811125665475,1,False,1
23,1923.8796125665476,1923.8816125665476,1923.8816125665476,0.0,0.0019999999999527063,1923.8816125665476,0.002,1923.8836125665475,1,False,1
24,1923.8821125665474,1923.8841125665474,1923.8841125665474,0.0,0.0019999999999527063,1923.8841125665474,0.002,1923.8861125665474,1,False,1
25,1923.8846125665475,1923.8866125665475,1923.8866125665475,0.0,0.0019999999999527063,1923.8866125665475,0.002,1923.8886125665474,1,False,1
26,1923.8871125665476,1923.8891125665475,1923.8891125665475,0.0,0.0019999999999527063,1923.8891125665475,0.002,1923.8911125665475,1,False,1
27,1923.8896125665476,1923.8916125665476,1923.8916125665476,0.0,0.0019999999999527063,1923.8916125665476,0.002,1923.8936125665475,1,False,1
28,1923.8921125665477,1923.8941125665476,1923.8941125665476,0.0,0.0019999999999527063,1923.8941125665476,0.002,1923.8961125665476,1,False,1
29,1923.8946125665475,1923.8966125665474,1923.8966125665474,0.0,0.0019999999999527063,1923.8966125665474,0.002,1923.8986125665474,1,False,1
30,1923.8971125665475,1923.8991125665475,1923.8991125665475,0.0,0.0019999999999527063,1923.8991125665475,0.002,1923.9011125665475,1,False,1
31,1923.8996125665476,1923.9016125665476,1923.9016125665476,0.0,0.0019999999999527063,1923.9016125665476,0.002,1923.9036125665475,1,False,1
32,1923.9021125665477,1923.9041125665476,1923.9041125665476,0.0,0.0019999999999527063,1923.9041125665476,0.002,1923.9061125665476,1,False,1
33,1923.9046125665475,1923.9066125665474,1923.9066125665474,0.0,0.0019999999999527063,1923.9066125665474,0.002,1923.9086125665474,1,False,1
34,1923.9071125665475,1923.9091125665475,1923.9091125665475,0.0,0.0019999999999527063,1923.9091125665475,0.002,1923.9111125665474,1,False,1
35,1923.9096125665476,1923.9116125665475,1923.9116125665475,0.0,0.0019999999999527063,1923.9116125665475,0.002,1923.9136125665475,1,False,1
36,1923.9121125665476,1923.9141125665476,1923.9141125665476,0.0,0.0019999999999527063,1923.9141125665476,0.002,1923.9161125665476,1,False,1
37,1923.9146125665475,1923.9166125665474,1923.9166125665474,0.0,0.0019999999999527063,1923.9166125665474,0.002,1923.9186125665474,1,False,1
38,1923.9171125665475,1923.9191125665475,1923.9191125665475,0.0,0.0019999999999527063,1923.9191125665475,0.002,1923.9211125665474,1,False,1
